"Public Price","Product/Barcode"
"22.55","039079058957"
"18.48","039079059817"
"18.48","039079060196"
"18.240000000000002","039079060226"
"11.71","039079090025"
"12.34","039079090223"
"11.71","039079091510"
"0.0","040102127502"
"194.0","040102233258"
"0.0","040102250002"
"174.0","040102251405"
"1.0","040102640759"
"0.0","040102640803"
"0.0","040102640896"
"1.0","040102641206"
"0.0","040102641213"
"0.0","040102642951"
"6.04","041535066604"
"28.97","045125602197"
"2.35","045125604030"
"9.86","045125605358"
"24.64","045125605457"
"16.03","045125605518"
"30.8","045125605532"
"7.41","045125605570"
"24.64","045125605631"
"18.48","045125605723"
"20.96","045125605754"
"14.790000000000001","045125605938"
"2.85","045125613902"
"5.3","045125613940"
"3.45","045125619720"
"4.19","045125619737"
"5.3","045125619812"
"1.0","045663000028"
"2.72","045663001797"
"4.44","045663017309"
"4.33","045663017385"
"4.33","045663018177"
"6.04","045663106119"
"5.55","045663140007"
"7.03","045663170202"
"15.17","045663182304"
"6.92","045663182359"
"12.58","045663182410"
"4.33","045663182571"
"5.8","045663185107"
"5.93","045663561154"
"48.92","045663572051"
"6.29","045663590352"
"6.53","045663590451"
"6.67","045663590505"
"6.67","045663590550"
"6.42","045663591410"
"6.42","045663591441"
"6.42","045663591458"
"6.42","045663591465"
"8.63","045663591717"
"9.61","045663591816"
"9.61","045663591847"
"9.61","045663591854"
"9.61","045663591861"
"13.69","045663592745"
"13.69","045663592769"
"5.07","045663593254"
"5.18","045663691455"
"1.99","045663820107"
"9.75","045663856106"
"5.93","045663970116"
"10.97","045663970222"
"12.200000000000001","045663970499"
"10.86","045663970567"
"11.71","045663971236"
"97.71000000000001","045663971601"
"8.02","045663971991"
"10.59","048054312618"
"9.700000000000001","048081621547"
"11.03","048081628010"
"13.67","048081711408"
"11.71","048476510777"
"7.41","048476511019"
"13.05","0602573023846"
"6.1000000000000005","0602573023853"
"3.7","0604565017987"
"6.05","0604565018052"
"4.04","0604565018069"
"4.04","0604565018076"
"6.5","0604565018090"
"2.13","0604565018120"
"13.89","0604565018212"
"13.67","0604565018250"
"7.62","0604565018304"
"7.17","0634158675782"
"4.2","0634158675799"
"7.51","0634158675843"
"5.04","0634158675911"
"7.73","0634158675935"
"2.13","0634158676031"
"3.25","0634158676055"
"3.25","0634158676062"
"3.25","0634158676079"
"3.25","0634158676086"
"3.25","0634158676093"
"3.25","0634158676109"
"3.25","0634158676116"
"3.25","0634158676123"
"2.13","0634158676321"
"9.52","0634158913075"
"7.4","0634158913242"
"0.4","0634158913617"
"4.76","0634158950605"
"12.32","0634158950902"
"7.23","0634158950940"
"5.04","0634158951411"
"105.49000000000001","0635934607744"
"111.25","0635934607775"
"8.02","0635934612212"
"3.7","0635934612458"
"4.93","0635934612465"
"5.5","0635934612472"
"5.5","0635934612489"
"2.5","0635934612496"
"2.8000000000000003","0635934612502"
"3.1","0635934612519"
"1.5","0635934612526"
"5.8","066380000870"
"5.8","066380000887"
"5.8","066380000894"
"5.8","066380000900"
"5.8","066380001327"
"21.21","066380001402"
"4.71","0715706350037"
"13.06","073091020783"
"13.06","073091021018"
"9.26","073091021032"
"12.58","073091022060"
"12.34","073091022848"
"21.45","073091029168"
"4.9","07326218130"
"6.59","074198116034"
"18.82","074198116157"
"6.59","074198121038"
"16.47","074198121151"
"24.5","074198138159"
"25.5","074198143153"
"20.59","074198157150"
"6.9","074198165032"
"24.8","074198165155"
"6.59","074198179039"
"13.18","074198179077"
"5.65","074198607310"
"10.950000000000001","074198607334"
"5.65","074198607365"
"10.950000000000001","074198607389"
"5.65","074198607464"
"1.18","074198610723"
"1.18","074198611454"
"12.47","074198612192"
"12.47","074198612239"
"12.47","074198612277"
"30.94","074198612284"
"11.18","074198612314"
"12.47","074198612345"
"11.18","074198612383"
"12.47","074198612413"
"13.3","074198612499"
"12.47","074198613311"
"12.47","074198613359"
"1.18","074198613397"
